name,address,tel,navi,link
医師会市民病院,今治市別宮町7-1-40,0898-22-7611,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385500350&kikanKbn=1
今治セントラルクリニック,今治市松本町2-6-6,0898-22-5251,"https://www.google.com/maps/dir/?api=1&destination=34.0629614,133.0028127",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2388633204&kikanKbn=2
今治第一病院,今治市宮下町1-1-21,0898-23-2000,"https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385500640&kikanKbn=1
木原病院,今治市別宮町3-7-8,0898-23-0634,"https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385502400&kikanKbn=1
県立今治病院,今治市石井町4-5-5,0898-32-7111,"https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385503830&kikanKbn=1
済生会今治病院,今治市喜田村7-1-6,0898-47-2500,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385503380&kikanKbn=1
三木病院,今治市泉川町1-3-45,0898-32-4680,"https://www.google.com/maps/dir/?api=1&destination=34.05681557,132.9946549",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385500770&kikanKbn=1
広瀬病院,今治市喜田村6-5-1,0898-47-0100,"https://www.google.com/maps/dir/?api=1&destination=34.04326043,133.0239411",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385504000&kikanKbn=1
瀬戸内海病院,今治市北宝来町2-4-9,0898-23-0655,"https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385502530&kikanKbn=1
放射線第一病院,今治市北日吉町1-10-50,0898-23-3358,"https://www.google.com/maps/dir/?api=1&destination=34.0650153,132.9905423",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385501360&kikanKbn=1
